dataset,fold,model,best_params,MAE,RMSE,MdAE,MASE,MdASE
NASA93,21,GradientBoosting,"{""regressor__model__learning_rate"": 0.05, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",192.69270726726384,353.75492597613635,48.21294767516309,0.3688948191074022,0.21815813427675607
NASA93,21,DummyMean,{},671.2926031294452,1047.9089027277394,527.3621621621622,1.28513614714076,2.386254127430598
NASA93,21,DummyMedian,{},584.3315789473684,1121.7651637627098,204.0,1.1186562022586346,0.9230769230769231
NASA93,21,TabPFN,{},267.79199686552346,493.79771359549346,63.8402099609375,0.5126664192075525,0.28886972833003394
NASA93,21,TabICLv2,{},261.6138410668624,517.2840838469397,45.7822265625,0.5008388326938432,0.20715939621040724
NASA93,21,TabDPT,{},312.6601281015497,662.4379759220702,90.69869995117188,0.5985628778267366,0.4104013572451216
NASA93,22,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.5}",743.6585283122052,1885.8136654588973,165.86434843131136,1.560845536917582,0.8661323677875267
NASA93,22,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",477.55814301096984,1527.158161932758,53.5565876302349,1.00233436148316,0.27966886490984283
NASA93,22,GradientBoosting,"{""regressor__model__learning_rate"": 0.05, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 0.7}",297.49607267202083,790.1269601696888,55.19482633674606,0.6244067668187747,0.288223636223217
NASA93,22,DummyMean,{},807.9308677098151,1821.8030973689288,508.4837837837838,1.6957450778718075,2.6552678004375134
NASA93,22,DummyMedian,{},762.5684210526315,1899.2939449894754,208.3,1.6005350188017906,1.087728459530026
NASA93,22,TabPFN,{},305.49566024981044,1020.266530068581,31.905235290527344,0.6411968930563001,0.16660697279648742
NASA93,22,TabICLv2,{},329.31190708561945,967.5925544308639,32.952552795410156,0.6911841939001004,0.1720759937097136
NASA93,22,TabDPT,{},408.44799902062664,1170.128560765984,86.39340209960938,0.8572808783369649,0.451140480937908
NASA93,23,ElasticNet,"{""regressor__model__alpha"": 0.01, ""regressor__model__l1_ratio"": 0.1}",420.15523180557864,1383.251860142568,60.88058659293756,0.7218525149543976,0.22853073045396985
NASA93,23,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",173.92233928836342,380.979585534203,72.07115218207508,0.29880926980852657,0.2705373580408224
NASA93,23,GradientBoosting,"{""regressor__model__learning_rate"": 0.03, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 0.7}",190.4152865604203,426.51179817698375,21.82210253985987,0.3271451670343729,0.08191479932379832
NASA93,23,DummyMean,{},613.7539118065434,701.669956486606,614.3216216216216,1.0544669476010806,2.3060120931742554
NASA93,23,DummyMedian,{},368.15263157894736,635.4121948534046,264.4,0.6325088511936373,0.9924924924924925
NASA93,23,TabPFN,{},162.80299076281096,345.7813867422125,31.585540771484375,0.2797055455413522,0.11856434223530171
NASA93,23,TabICLv2,{},186.8553551121762,409.6503112290643,39.642051696777344,0.32102898597924956,0.14880650036327833
NASA93,23,TabDPT,{},154.91047015943025,268.34216598770615,72.61668014526367,0.2661457099958172,0.2725851356804192
NASA93,24,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.5}",641.3003146407594,1159.91289931785,196.9207042962601,1.2826108901686404,1.087959692244531
NASA93,24,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",429.8176512760135,690.0511818312589,171.2901425294682,0.8596421796894645,0.9463543786158464
NASA93,24,GradientBoosting,"{""regressor__model__learning_rate"": 0.03, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 0.7}",390.3200349370211,599.1155120225968,213.80785639585577,0.7806463150445626,1.1812588751152253
NASA93,24,DummyMean,{},655.8303703703704,1073.0214886046817,454.6733333333333,1.3116712341106136,2.5120073664825044
NASA93,24,DummyMedian,{},680.4222222222221,1187.5731893235043,222.2,1.3608553312870946,1.2276243093922652
NASA93,24,TabPFN,{},340.0721360418531,558.7278654540028,146.884765625,0.6801497132814125,0.8115180421270718
NASA93,24,TabICLv2,{},349.30413369072807,550.3180331711255,108.12736511230469,0.6986138562923065,0.5973887575265452
NASA93,24,TabDPT,{},432.66918511920505,766.0492192853079,164.47293090820312,0.8653452930007541,0.908690226012172
NASA93,25,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.5}",295.9793286975746,558.0841925310405,162.32044617490737,0.5028906827856222,0.7956884616417028
NASA93,25,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",187.0862017991382,439.5341414642695,19.05039419426479,0.31787323856886723,0.09338428526600387
NASA93,25,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 4, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",203.7747679885111,468.50433682278594,67.04377965861674,0.3462283418884713,0.32864597871870954
NASA93,25,DummyMean,{},477.6760000000001,602.8294381894865,459.5973333333334,0.8116067120206066,2.2529281045751635
NASA93,25,DummyMedian,{},310.5888888888889,576.9593111014559,172.6,0.5277134017644692,0.846078431372549
NASA93,25,TabPFN,{},186.65783432854545,356.0049945593975,75.70695343017579,0.31714541068062424,0.3711125168145872
NASA93,25,TabICLv2,{},179.8524842262268,339.3092553804093,65.85853576660156,0.30558261954041216,0.32283595964020373
NASA93,25,TabDPT,{},171.10092192755803,291.3016315270218,95.10038757324219,0.2907130705108062,0.46617837045706956
NASA93,26,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.9}",493.6836915139976,818.5140715974005,161.78020100980615,0.9048141008236571,0.8170717222717482
NASA93,26,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",235.59232223550765,451.35848442235414,112.27038210291738,0.43178913719177237,0.567022131832916
